,id,lai,wetness,treeSpecies,Sentinel_2A_B2,Sentinel_2A_B3,Sentinel_2A_B4,Sentinel_2A_B5,Sentinel_2A_B6,Sentinel_2A_B7,Sentinel_2A_B8,Sentinel_2A_B8a,Sentinel_2A_B11,Sentinel_2A_B12
109,109,4.5,0.32,predominantly_beech,0.0360333485224342,0.1228923568757021,0.03766677578829465,0.17457734680597914,0.44384067271481087,0.49774527060198304,0.5019536547794664,0.5032912120040463,0.2413185381236625,0.09934556145158899
110,110,2.8,0.27,predominantly_pine,0.030617936633403443,0.11171704983540166,0.032480688168959326,0.16131082705228922,0.4316481943107013,0.48105262502148993,0.48299703575713454,0.483483543662469,0.24594233584525427,0.10125893853012251
111,111,3.5,0.66,oak,0.032055469173801934,0.10937973715103214,0.033131910578178846,0.16009175449097518,0.4216692438792344,0.4770965487277573,0.4846793091148619,0.48742645032976306,0.23064267308925948,0.09112998168220879
112,112,1.6,0.45,beech,0.03577058507743163,0.12063571910954185,0.041147124150754416,0.17189324769953343,0.39519126868098575,0.4319457114375631,0.43695191045635073,0.43880325088456307,0.2509696279101428,0.11094890970862387
113,113,4.1,0.33,predominantly_pine,0.029442055237085905,0.1045539649992283,0.03037797597999047,0.15386623486038686,0.4347898079085152,0.49534926634407933,0.5001826594963883,0.5017624091925389,0.2391664097486076,0.09597368062120083
114,114,2.2,0.42,mixed,0.03276650603034667,0.10991999104971537,0.03406739069587,0.15974670672269112,0.40082021003021,0.44451814080935215,0.44976518448807257,0.4516540899987715,0.23656072455791252,0.0958972632140624
115,115,1.7,0.47,mixed,0.03809029525943789,0.12262154921927126,0.04277052043567416,0.1744070703522745,0.39190099442710474,0.4298253384897058,0.4365507512242079,0.4391191078097498,0.25189598466651525,0.11091957392539759
116,116,1.6,0.74,predominantly_beech,0.04015216142017712,0.1255904252633031,0.04538867213320717,0.17875115444504813,0.41734446523273727,0.45918138654602036,0.46534786929528926,0.4677553653894517,0.27002591707982804,0.1238326175284253
117,117,4.9,0.2,pine,0.02784638890335864,0.09918857153106654,0.028374772591343838,0.14817599787475902,0.4422752163018399,0.5105520171754582,0.5161458442555663,0.5180638505676954,0.26073574293268065,0.10858327730689837
118,118,5.6,0.27,predominantly_oak,0.03217508569820242,0.11058779276005559,0.03277244551785431,0.16056042646137617,0.4245812235410467,0.47887765441174474,0.48370955510194413,0.48529487217276457,0.22251901569668814,0.08505111934676554
119,119,4.5,0.2,predominantly_oak,0.030594764864054345,0.10989191201751246,0.03266525786472546,0.1604654797985169,0.4328545410288068,0.49127284089357753,0.4973320867189466,0.4994195129888738,0.23994492634410886,0.0967991457493966
120,120,4.7,0.57,mixed,0.030119517869692258,0.10925983016108468,0.03200193870390569,0.15963291681644687,0.42604206284251317,0.48038099732385897,0.4854792989723265,0.48719612506819504,0.2266735744742379,0.08658416581766218
121,121,4.2,0.54,predominantly_oak,0.0367934828101191,0.12731196606604803,0.03997152376928613,0.1801967604597383,0.4347486291065924,0.48375687554091495,0.48918261880167657,0.49104665978888123,0.23530536773927396,0.09474720777202564
122,122,7.2,0.37,mixed,0.0306372855704006,0.11174755174897988,0.03327928947522204,0.16264828234327627,0.4305600751634781,0.4881075424187663,0.4942209665886076,0.49633683291297986,0.23335017092878818,0.09166156412281777
123,123,3.7,0.0,predominantly_oak,0.029921687304825615,0.10760488823177249,0.031271439592743894,0.15737273004870056,0.4211502858710466,0.47216451388730013,0.47613777597701057,0.4774136041593313,0.23399188626171183,0.09141831432498548
124,124,5.4,0.67,predominantly_beech,0.03270304897652018,0.11383244287545195,0.03397413595739021,0.1641456877453266,0.44116358220636626,0.5007476387320579,0.5054698175125949,0.5070597671754544,0.24954197816540113,0.10326852933185639
